Label,Prob,STD,n,0 Sleep Apnea,,
Blood Pressure=2|Sleep Disorder=2,0.208849944,0.005815967,78,,,
Blood Pressure=2|Sleep Disorder=0,1.419730554,0.003585292,77,,,
Blood Pressure=3|Sleep Disorder=1,0.027099865,0.002006212,219,,,
Blood Pressure=3|Sleep Disorder=2,0.772682671,0.005815967,78,,,
Blood Pressure=3|Sleep Disorder=0,0.003972115,0.003585292,77,,,
Blood Pressure=1|Sleep Disorder=1,0.148807532,0.002006212,219,,,
Blood Pressure=1|Sleep Disorder=2,0.000437858,0.005815967,78,,,
Blood Pressure=1|Sleep Disorder=0,0.0010162,0.003585292,77,,,
Blood Pressure=0|Sleep Disorder=1,0.000147152,0.002006212,219,,,
Blood Pressure=0|Sleep Disorder=2,7.12E-09,0.005815967,78,,,
Blood Pressure=0|Sleep Disorder=0,1.46E-12,0.003585292,77,,,
Heart Rate=0|Sleep Disorder=1,39894228040,0,219,,,
Heart Rate=0|Sleep Disorder=2,39894228040,0,78,,,
Heart Rate=0|Sleep Disorder=0,39894228040,0,77,,,
Daily Steps=4000|Sleep Disorder=1,6.93E-05,7.355338657,219,4000,0.000244812,
Daily Steps=4000|Sleep Disorder=2,0.000142683,35.72356189,78,1000,7.31E-05,
Daily Steps=4000|Sleep Disorder=0,0.000102129,14.31300509,77,3000,1.46E-04,
Daily Steps=1000|Sleep Disorder=1,6.26E-07,7.355338657,219,8000,1.03E-04,
Daily Steps=1000|Sleep Disorder=2,7.31E-05,35.72356189,78,6000,0.000470059,
Daily Steps=1000|Sleep Disorder=0,3.31E-08,14.31300509,77,5000,0.000424405,
Daily Steps=3000|Sleep Disorder=1,2.12E-05,7.355338657,219,7000,2.78E-04,
Daily Steps=3000|Sleep Disorder=2,0.000129866,35.72356189,78,,,
Daily Steps=3000|Sleep Disorder=0,1.60E-05,14.31300509,77,,,
Daily Steps=8000|Sleep Disorder=1,0.000167077,7.355338657,219,,,
Daily Steps=8000|Sleep Disorder=2,5.73E-05,35.72356189,78,,,
Daily Steps=8000|Sleep Disorder=0,4.53E-05,14.31300509,77,,,
Daily Steps=6000|Sleep Disorder=1,0.000232594,7.355338657,219,,,
Daily Steps=6000|Sleep Disorder=2,0.000117035,35.72356189,78,,,
Daily Steps=6000|Sleep Disorder=0,0.000353023,14.31300509,77,,,
Daily Steps=5000|Sleep Disorder=1,0.000153949,7.355338657,219,,,
Daily Steps=5000|Sleep Disorder=2,0.00013782,35.72356189,78,,,
Daily Steps=5000|Sleep Disorder=0,0.000286585,14.31300509,77,,,
Daily Steps=7000|Sleep Disorder=1,0.000239026,7.355338657,219,,,
Daily Steps=7000|Sleep Disorder=2,8.74E-05,35.72356189,78,,,
Daily Steps=7000|Sleep Disorder=0,0.000190897,14.31300509,77,,,
